Airline,Departure,Arrival,Price,Duration,Flight_num
Qatar Airways,"04:45
تهران (IKA)","13:20
اسلو (OSL)","86,448,680",11 ساعت و 5 دقیقه,491
Qatar Airways,"22:50
تهران (IKA)","13:20
اسلو (OSL)","86,448,680",17 ساعت,499
Turkish Airlines,"07:55
تهران (IKA)","16:25
اسلو (OSL)","98,157,700",11 ساعت,879
Turkish Airlines,"06:30
تهران (IKA)","16:25
اسلو (OSL)","98,157,700",12 ساعت و 25 دقیقه,873
چند ایرلاین,"05:30
تهران (IKA)","16:25
اسلو (OSL)","102,974,700",13 ساعت و 25 دقیقه,7689
Turkish Airlines,"03:15
تهران (IKA)","16:25
اسلو (OSL)","111,631,550",15 ساعت و 40 دقیقه,875
Turkish Airlines,"02:05
تهران (IKA)","16:25
اسلو (OSL)","111,631,550",16 ساعت و 50 دقیقه,881
Qatar Airways,"04:45
تهران (IKA)","13:20
اسلو (OSL)","129,789,942",11 ساعت و 5 دقیقه,491
Qatar Airways,"22:50
تهران (IKA)","13:20
اسلو (OSL)","129,789,942",17 ساعت,499
Turkish Airlines,"07:55
تهران (IKA)","16:25
اسلو (OSL)","144,061,918",11 ساعت,879
Turkish Airlines,"06:30
تهران (IKA)","16:25
اسلو (OSL)","144,061,918",12 ساعت و 25 دقیقه,873
چند ایرلاین,"22:50
تهران (IKA)","16:35
اسلو (OSL)","148,388,340",20 ساعت و 15 دقیقه,499
چند ایرلاین,"05:30
تهران (IKA)","16:25
اسلو (OSL)","150,582,977",13 ساعت و 25 دقیقه,7689
چند ایرلاین,"03:45
تهران (IKA)","13:00
اسلو (OSL)","159,543,766",11 ساعت و 45 دقیقه,872
Turkish Airlines,"03:15
تهران (IKA)","16:25
اسلو (OSL)","163,834,437",15 ساعت و 40 دقیقه,875
Turkish Airlines,"02:05
تهران (IKA)","16:25
اسلو (OSL)","163,834,437",16 ساعت و 50 دقیقه,881
چند ایرلاین,"04:45
تهران (IKA)","20:50
اسلو (OSL)","165,227,840",18 ساعت و 35 دقیقه,491
چند ایرلاین,"22:50
تهران (IKA)","08:45
اسلو (OSL)","167,720,380",12 ساعت و 25 دقیقه,499
چند ایرلاین,"04:45
تهران (IKA)","16:35
اسلو (OSL)","191,274,900",14 ساعت و 20 دقیقه,491
چند ایرلاین,"00:50
تهران (IKA)","12:00
اسلو (OSL)","191,907,785",13 ساعت و 40 دقیقه,2491
چند ایرلاین,"03:45
تهران (IKA)","13:00
اسلو (OSL)","204,404,755",11 ساعت و 45 دقیقه,872
چند ایرلاین,"04:45
تهران (IKA)","08:05
اسلو (OSL)","208,542,320",29 ساعت و 50 دقیقه,491
چند ایرلاین,"22:50
تهران (IKA)","16:35
اسلو (OSL)","239,651,620",20 ساعت و 15 دقیقه,499
Lufthansa,"02:30
تهران (IKA)","14:50
اسلو (OSL)","241,378,487",14 ساعت و 50 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:40
اسلو (OSL)","244,825,487",23 ساعت و 40 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:25
اسلو (OSL)","259,696,193",23 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","11:05
اسلو (OSL)","261,537,193",35 ساعت و 5 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:25
اسلو (OSL)","264,984,193",47 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","12:25
اسلو (OSL)","306,708,017",12 ساعت و 25 دقیقه,601
چند ایرلاین,"04:45
تهران (IKA)","08:05
اسلو (OSL)","310,283,070",29 ساعت و 50 دقیقه,491
چند ایرلاین,"02:30
تهران (IKA)","10:15
اسلو (OSL)","318,509,723",34 ساعت و 15 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","13:00
اسلو (OSL)","326,889,723",13 ساعت,601
Lufthansa,"02:30
تهران (IKA)","14:50
اسلو (OSL)","335,353,696",14 ساعت و 50 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:40
اسلو (OSL)","340,019,727",23 ساعت و 40 دقیقه,601
چند ایرلاین,"04:45
تهران (IKA)","16:35
اسلو (OSL)","348,089,080",14 ساعت و 20 دقیقه,491
چند ایرلاین,"22:50
تهران (IKA)","16:35
اسلو (OSL)","356,443,003",20 ساعت و 15 دقیقه,499
Lufthansa,"02:30
تهران (IKA)","23:25
اسلو (OSL)","357,571,881",23 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:25
اسلو (OSL)","362,237,911",23 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","11:05
اسلو (OSL)","364,730,494",35 ساعت و 5 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","11:05
اسلو (OSL)","369,396,525",35 ساعت و 5 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","12:25
اسلو (OSL)","427,673,563",12 ساعت و 25 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","13:00
اسلو (OSL)","440,780,699",13 ساعت,601
چند ایرلاین,"02:30
تهران (IKA)","10:15
اسلو (OSL)","445,737,523",34 ساعت و 15 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","15:10
اسلو (OSL)","457,050,361",39 ساعت و 10 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","15:10
اسلو (OSL)","461,716,392",39 ساعت و 10 دقیقه,601
Turkish Airlines,"07:55
تهران (IKA)","16:25
اسلو (OSL)","465,782,497",11 ساعت,879
Turkish Airlines,"06:30
تهران (IKA)","16:25
اسلو (OSL)","465,782,497",12 ساعت و 25 دقیقه,873
Turkish Airlines,"03:15
تهران (IKA)","16:25
اسلو (OSL)","465,782,497",15 ساعت و 40 دقیقه,875
Turkish Airlines,"02:05
تهران (IKA)","16:25
اسلو (OSL)","465,782,497",16 ساعت و 50 دقیقه,881
چند ایرلاین,"05:30
تهران (IKA)","16:25
اسلو (OSL)","472,303,556",13 ساعت و 25 دقیقه,7689
چند ایرلاین,"07:55
تهران (IKA)","20:00
اسلو (OSL)","477,046,989",14 ساعت و 35 دقیقه,879
چند ایرلاین,"06:30
تهران (IKA)","20:00
اسلو (OSL)","477,046,989",16 ساعت,873
چند ایرلاین,"03:15
تهران (IKA)","20:00
اسلو (OSL)","477,046,989",19 ساعت و 15 دقیقه,875
چند ایرلاین,"05:30
تهران (IKA)","20:00
اسلو (OSL)","483,568,048",17 ساعت,7689
چند ایرلاین,"04:45
تهران (IKA)","16:35
اسلو (OSL)","517,317,225",14 ساعت و 20 دقیقه,491
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","544,879,840",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","544,879,840",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","23:40
اسلو (OSL)","548,326,840",22 ساعت و 25 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","13:45
اسلو (TRF)","553,904,840",12 ساعت و 30 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:30
اسلو (OSL)","554,975,840",11 ساعت و 15 دقیقه,872
چند ایرلاین,"02:30
تهران (IKA)","13:00
اسلو (OSL)","556,144,450",13 ساعت,601
چند ایرلاین,"02:30
تهران (IKA)","13:45
اسلو (TRF)","564,226,993",13 ساعت و 45 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","13:15
اسلو (OSL)","564,793,993",13 ساعت و 15 دقیقه,601
چند ایرلاین,"02:30
تهران (IKA)","15:10
اسلو (OSL)","572,414,112",39 ساعت و 10 دقیقه,601
چند ایرلاین,"03:45
تهران (IKA)","12:30
اسلو (OSL)","762,725,148",11 ساعت و 15 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","765,362,294",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","765,362,294",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","1,100,776,835",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","12:25
اسلو (OSL)","1,133,098,482",11 ساعت و 10 دقیقه,872
چند ایرلاین,"03:45
تهران (IKA)","14:50
اسلو (OSL)","1,133,098,482",13 ساعت و 35 دقیقه,872
Lufthansa,"02:30
تهران (IKA)","12:25
اسلو (OSL)","1,151,146,723",12 ساعت و 25 دقیقه,601
Lufthansa,"02:30
تهران (IKA)","23:40
اسلو (OSL)","1,155,812,754",23 ساعت و 40 دقیقه,601
